,sentence,sentence_bert
8032,"평범한 로맨틱 코미디지만, 마음을 끄는 무언가가 있다.","평범한 로맨틱 코미디지만, 마음을 끄는 건 무언가가 있다."
8042,내가 의심하고 있다는 사실을 제외하고 모든 것을 의심하는 데카르트 전술로 가야겠습니다,내가 스스로 의심하고 있다는 사실을 잠시 제외하고 모든 것을 의심하는 데카르트 전술로 가야겠습니다
8065,거의 한시간동안 이야기 나눴네요!!,거의 한시간동안 서로 이야기 나눴네요!!
8070,있는거 뿐만 아니라 스텝을 세고 있습니다요. ㅋㅋ,있는거 뿐만 아니라 스텝을 세고도 있습니다요. ㅋㅋ
8086,70세 이상도 기초연금 주세요,70세 이상도 아닌 기초연금 주세요
8118,탈취당한 자산 100억 원대 회사를 찾아 주십시오.,탈취당한 회사 자산 100억 원대 회사를 찾아 주십시오.
8127,"그당시 논스톱을 거쳐가면 앵간해선 다떴죠,,","그당시 논스톱을 거쳐가면서 앵간해선 다떴죠,,"
8134,청소년이 만든 영화수준 점수에 혹해서 봤는데 진짜 낚였어요,청소년이 직접 만든 영화수준 점수에 혹해서 봤는데 진짜 낚였어요
8153,다양한 생각 가진 사람들 모여야 impact가 큰 일들 할 수 있습니다.,다양한 서로 다른 생각 가진 사람들 모여야 impact가 큰 일들 할 수 있습니다.
8155,차량으로 사고를 내면 형량이 너무 약하다,사고 차량으로 사고를 내면 형량이 너무 약하다
8157,동의합니다가 너무 웃겨서 동의를 못하겠어요,동의합니다가 너무 웃겨서. 동의를 못하겠어요
8166,무분별한 근육증가 약물 사용을 제지해주세요,제발 무분별한 근육증가 약물 사용을 제지해주세요
8176,"대한민국 축구 감독(4,50대)들의 대폭적인 물갈이를 요청 합니다.","대한민국 축구 감독 ( 4, 50대 ) 들의 대폭적인 물갈이를 간곡히 요청 합니다."
8184,거기에서 그런 느낌을 받으셨을 수도 있겠네요...,거기에서 그런 느낌을 받으셨을 수도 있 있겠네요...
8196,교정시설 내에서 있었던 인권침해에 대하여 청원합니다.,교정시설 내에서 일어나 있었던 인권침해에 대하여 청원합니다.
8222,열 글자를 채우는게 아까운 영화,열두 글자를 채우는게 아까운 영화
8223,오우 .. 역시 보기 쉽지 않은 것 이었군요..!,. 오우.. 역시 보기 쉽지 않은 것 이었군요..!
8228,자동차세를 올리고 공영 주차장을 충분히 하여 주십시요,자동차세를 올리고 공영 주차장을 확보 충분히 하여 주십시요
8243,따릉이 너무 좋죠 ㅜㅜ,따릉이 너무 너무 좋죠 ㅜㅜ
8250,축구 모임 작당 중 ㅋㅋ,요즘 축구 모임 작당 중 ㅋㅋ
8271,내가 원하는 스타일!!! 재치있는 영화~ 굿잡,내가 원하는 스타일!!!! 재치있는 영화 ~ 굿잡
8273,수년째 같은장소에서 사업자만바꿔 동성성매매가 이뤄지고 있습니다,수년째 같은장소에서 다른 사업자만바꿔 동성성매매가 이뤄지고 있습니다
8275,한치가 펄럭이는게 넘 웃겨욬ㅋㅋ,한치가 펄럭이는게 넘은
8278,혹시 긍정적인 변화들이 많이 있나요?,그런데 혹시 긍정적인 변화들이 많이 있나요?
8279,가능함... 가능하겠지... 가능할거야... 바보가 아닌 이상.,가능함... 가능하겠지.... 가능할거야... 바보가 아닌 이상.
8296,"세상에서 가장 사랑하는 사람들로부터 이해 받기 힘들었던, 위대한 사명감을 가진 사람의 슬픈 이야기 였습니다.","세상에서 가장 사랑하는 사람들로부터 가장 이해 받기 힘들었던, 위대한 사명감을 다 가진 사람의 슬픈 이야기 였습니다."
8318,정책연구비 횡령 및 부정사용,정부 정책연구비 횡령 및 부정사용
8335,근데 지금은 엄청 발전 한 것 같아요,근데 지금은 엄청 발전을 한 것 같아요
8341,보니까 불쌍해서 사랑해서 못먹고 포기하던데 명껀 어찌 먹은겨..?,보니까 불쌍해서 사랑해서 밥 못먹고 포기하던데 명껀 어찌 먹은겨..?
8346,변호사시험 5탈제도가 사법고시보다 훨씬 타격도 크고 안좋은 제도입니다,변호사시험 5탈제도가 다른 사법고시보다 훨씬 타격도 크고 안좋은 제도입니다
8353,2018폭염으로 고시원 계약 전력초과에 예외규정적용을 청원합니다.,2018폭염으로 고시원 계약시 전력초과에 예외규정적용을 청원합니다.
8377,지역 관련 겹치는게 많더라구요!,지역별 관련 겹치는게 많더라구요!
8388,아직 오픈전이라 지도에 있는 사진은 이전 디저트 가게일때의 리뷰와 사진이 많네용,아직은 오픈전이라 지도에 있는 사진은 대부분 이전 디저트 가게일때의 리뷰와 사진이 많네용
8391,유명한 데는 다 이유가 있었어요~,유명한 데는 다 이유가 다 있었어요 ~
8403,덕분에 어떻게 하면 좋은 인원을 잘 선발할 수 있을지에 대한 힌트를 얻을 수 있었습니다.,"덕분에, 어떻게 하면 좋은 인원을 더 잘 선발할 수 있을지에 대한 힌트를 얻을 수 있었습니다."
8408,대한민국 불체자 강력한 대대적 단속을 해주시길 바랍니다,대한민국 불체자 강력한 대대적 단속을 해주시길 간절히 바랍니다
8413,혹시 언제 삭제되었는지 알 수 있을까요,혹시 언제부터 삭제되었는지 알 수 있을까요
8416,만두사진 보고 필 받아서.. 저녁으로 만두 먹어야겠네요 ㅎㅎ,만두사진 보고 필독 받아서.. 저녁으로 만두 먹어야겠네요 ㅎㅎ
8426,제가 좋아하는 백예린의 커버 앨범이 나왔네요.,제가 좋아하는 백예린의 첫 커버 앨범이 나왔네요.
8428,"드라마내용은좋고 주연진도 괜찮은데 박노예...., 앍","드라마내용은좋고 주연진도 괜찮은데 박노예....,."
8430,참여연대 정확히 뭐하는 조직인가요,도대체 참여연대 정확히 뭐하는 조직인가요
8433,믱 ;ㅁ; 시간이 없어서 시도도 사실 못해봐서...,; ㅁ ; 시간이 없어서. 시도도 사실 못해봐서...
8444,저 이 채널에서 좋은 음악에 눈 여러번 뜨네요.,저 이 채널에서 좋은 음악 음악에 눈 여러번 뜨네요.
8448,정의를 위해 처벌 해주세요,법의 정의를 위해 처벌 해주세요
8450,날짜 잡을때 너무 송구스러운 마음입니다 ㅠㅜ,날짜를 잡을때 너무 송구스러운 마음입니다 ㅠㅜ
8463,제목은 기술자들인데 시나리오는 초보자들이 썼어요,"제목은 기술자들인데, 시나리오는 초보자들이 썼어요"
8465,국가토지 임대후 그 토지를 전대하여 이득을 취하는자 엄벌,국가토지 임대후 그 토지를 전대하여 그 이득을 취하는자 엄벌
8475,참고로 저희집 애들은 줄서서 먹습니다. ㅋㅋ,참고로 저희집의 애들은 줄서서 먹습니다. ㅋㅋ
8482,연휴동안 읽어보고 공유하면 좋을 구문들 바리바리 싸들고 와보겠습니다.,이번 연휴동안 읽어보고 공유하면 좋을 구문들 바리바리 싸들고 와보겠습니다.
8483,3층 서기실의 암호 이책을 구입하고 싶어요.,3층에 서기실의 암호 이책을 구입하고 싶어요.
8488,그와중에 저는 두 번의 더블파로 인간미 한껏 뽐냈습니다,그와중에 저는 무려 두 번의 더블파로 인간미 한껏 뽐냈습니다
8489,크레이지 뷰티풀 영화를 보는내내 제목선정을 너무 잘했네 라는 생각이 든다. 크레이지 뷰티풀,크레이지 뷰티풀 영화를 보는내내 제목선정을 너무 잘했네 라는 생각이 절로 절로 든다. 크레이지 뷰티풀
8496,너무나 찾고 있었던 제품입니다,너무나 찾고 있었던 새로운 제품입니다
8499,우왓!!! 첫캠핑 엄청 제대로 시작하셨네요!ㅎㅎ,! 우왓!!! 첫캠핑 엄청 제대로 시작하셨네요! ㅎㅎ
8515,"영어를 듣고싶습니다, 시험이아닌 진짜영어요.","영어를 꼭 듣고싶습니다, 시험이아닌 진짜영어요."
8518,내가 발로 디자인해도 725억짜리보다 더 잘만들수있다.,내가 발로 디자인해도 725억짜리보다 더 더 잘만들수있다.
8538,용기내어 발표해준 캠퍼에게 감사와 격려의 표시도 듬뿍 해주세요!,또한 용기내어 발표해준 캠퍼에게 감사와 격려의 표시도 듬뿍 해주세요!
8550,아.. 진짜 한 십년 지난 듯한 기분이,. 아.. 진짜 한 십년 지난 듯한 기분이
8551,"으엇, 내일 바로 충전하겠습니다 ㅠㅠ!!!","으엇, 내일 바로 충전하겠습니다. ㅠㅠ!!!"
8555,올해도 영월은 내여행 순위이다.,올해도 영월은 내여행자 순위이다.
8558,이제야 보라색 스웻셔츠를 빨 수 있다.,이제야 보라색 다 빨 수 있다.
8581,와 키보드 엄청 예쁩니다!!!!,와 키보드 엄청 넘 예쁩니다!!!!
8596,하늘밖에 안 보이는 걸 보니 최소 롯데타워네요..,하늘밖에 안 돼 보이는 걸 보니 최소 롯데타워네요..
8598,이런저런 근황과 학교 얘기를 재밌게 나눴습니다,이런저런 연예계 근황과 학교 얘기를 재밌게 나눴습니다
8599,오히려 완벽한 계획이 더 웃기지 않나?,오히려 완벽한 결혼 계획이 더 웃기지 않나?
8606,북한 “금강산 합동 문화 공연 취소”…또 한밤 중 일방 통보,북한 “ 금강산 합동 문화행사 공연 취소 ” … 또 한밤중 중 일방 통보
8614,워라밸 보장 제도를 구축해주셨으면 합니다.,워라밸 보장성 제도를 구축해주셨으면 합니다.
8616,[가상화폐] 민주당은 영원히 재집권할 수 없게 됩니다,[ 가상화폐 ] 민주당은 영원히 재집권할 수 없게 해야 됩니다
8625,저도 그럼 3km부터 소소하게 연습해봐야겠어요,저도 그럼 3km부터 소소하게 열심히 연습해봐야겠어요
8629,어머 저는 뻔뻔하지 않답니다,어머 어머 저는 뻔뻔하지 않답니다
8632,저도 선드립 후검색...! ㅋㅋ,ㅋㅋ 저도 선드립 후검색...! ㅋㅋ
8644,sbs그것이알고싶다 !축구협회 비리좀파헤쳐 주십시요,# sbs그것이알고싶다! 축구협회 비리좀파헤쳐 주십시요
8651,문화.예술.체육 불합리 등 및 언론의 자유,문화. 예술. 체육 불합리성 등 및 언론의 자유
8654,오오 저도 방금 택배 받았는데 책같이 되어있네요 ㅎㅎㅎ,오오 저도 방금 택배 받았는데 책같이 되어있네요. ㅎㅎㅎ
8655,나중에 잠실 가게되면 저도 클라이밍 팟에 조인 해보는 것으로...?!,나중에 잠실 가게되면 저도 클라이밍 팟에서 조인 해보는 것으로...?!
8661,"주택가 도로에 일부러 소리내는 오토바이, 챠량 단속좀 합시다.","주택가 도로에 일부러 소리내는 오토바이, 챠량 단속좀 좀 합시다."
8662,% 연산자를 원없이 사용중입니다.,% 연산자를 원없이 계속 사용중입니다.
8664,내가 내 나라에 있는데 불편하다,내가 내 나라에 와 있는데 불편하다
8684,헉스... 제가 맨날 계란후라이 꽃이라고 부르는 아이들 이름이 마가렛이었군요..ㅋㅋ,헉스... 제가 맨날 계란후라이 꽃이라고 부르는 아이들 이름이 바로 마가렛이었군요.. ㅋㅋ
8685,이상하게 이 작품을 매주 보았단 말이야 (중간만),그런데 이상하게 이 작품을 매주 보았단 말이야 ( 중간만 )
8688,바를 가지고 계신 분이 벌써 세 분,바를 가지고 와 계신 분이 벌써 세 분
8698,곧 저도 캠핑러가... 되겠습니다 ㅋㅋ,그럼 곧 저도 캠핑러가... 되겠습니다 ㅋㅋ
8710,이제는 진짜 아는 사이가 된 느낌!,이제는 진짜 서로 아는 사이가 된 느낌!
8722,정말 이기적인 주인공 헥터,정말 이기적인 남자 주인공 헥터
8723,"특히 유럽에서 좋은 기억을 갖고 계시다고 하셨는데, 이야기를 들으면서 저도 교환학생 때 여행한 유럽 생각이 많이 났습니다","특히나 유럽에서 좋은 기억을 갖고 계시다고 하셨는데, 그 이야기를 들으면서 저도 교환학생일 때 여행한 유럽 생각이 많이 났습니다"
8726,오 그럼 잠드시기 전에 알려주세요! ㅋㅋ,오 그럼 잠드시기 전에 꼭 알려주세요! ㅋㅋ
8727,조만간 어멍에서 맛있는 닭갈비와 막국수 먹을 수 있으면 좋겠네요!!!,그럼 조만간 어멍에서 맛있는 닭갈비와 막국수 먹을 수 있으면 좋겠네요!!!
8730,내용 전개가 너무 어정쩡함.,일단 내용 전개가 너무 어정쩡함.
8748,선거 운동 문화를 바꿔보자.,선거 운동의 문화를 바꿔보자.
8757,와~ 잘 자랐네요 ㅎㅎ,와 ~ ~ 잘 자랐네요 ㅎㅎ
8772,우선순위 <PERSON> 님이 검정 선택하시면 제가 흰색 m 가져갈게요!!,우선순위 < PERSON > 입니다 님이 검정 선택하시면 제가 흰색 m 가져갈게요!!
8783,출산 장려를 위한 혜택기준 완화,출산 장려를 위한 위한 혜택기준 완화
8795,이 태리 느낌 좋은데요? ㅋㅋ,아 이 태리 느낌 좋은데요? ㅋㅋ
8805,루꼴라는 그 때 그 때 수확을 잘 안해주면 바로 꽃대가 올라버리는 것 같아요 ㅠㅠ,근데 루꼴라는 그 때 그 때 수확을 너무 잘 안해주면 바로 꽃대가 올라버리는 것 같아요 ㅠㅠ
8809,무엇이든 작정하면 끝장을 보시는 듯 하던데 ..,무엇이든 작정하면 끝장을 보시는 듯도 하던데..
8814,BMW 리콜 대상 차량 전부 환불요청~!!,BMW 리콜 대상 모든 차량 전부 환불요청 ~!!
8818,학생들은 조작된 사회만 따라간다.,학생들은 그저 조작된 사회만 따라간다.
8824,케이트 윈슬렛 몸 잘봤다,케이트 - 윈슬렛 몸 잘봤다
8825,어느 기업의 계약직 직원입니다,어느 기업의 계약직 계약직 직원입니다
8826,그걸 앉아서 바라보던 저도.. 같이 핀 셈…인가..,그걸 앉아서 바라보던 저도.. 다 같이 핀 셈 … 인가..
8831,독립유공자 손자녀지원책의 전면재수정 확대를 요청합니다.,독립유공자들의 손자녀지원책의 전면재수정 확대를 요청합니다.
8835,화면발 너무 잘 받네요 ㅎㅎ,화면발 너무 잘 받네요. ㅎㅎ
8836,의료원 전면플라자 갑질을 고발합니다,의료원 전면플라자의 갑질을 고발합니다
8847,계속되는 노무현 대통령에 대한 능욕을 봐야합니까,계속되는 노무현 대통령에게 대한 능욕을 봐야합니까
8856,적절하게 알고리즘을 활용하면서 저도 꼭 필요한 서비스인데.. ㅎ,그래도 적절하게 알고리즘을 활용하면서 저도 꼭 필요한 서비스인데.. ㅎ
8865,"저의 최근 고민, 퇴근 후 어떤 것을 계획하고 있는지 등등 여과없이 털어놔버렸네요","그리고 저의 최근 고민, 퇴근 후 어떤 어떤 것을 계획하고 있는지 등등 여과없이 털어놔버렸네요"
8867,멋진 분들한테서 에너지 얻어 갑니다 ㅎㅎ,멋진 분들한테서 에너지를 얻어 갑니다 ㅎㅎ
8868,쌀값 폭등 원인 해명 해주세요?,최근 쌀값 폭등 원인 해명 해주세요?
8879,항상 웨이팅 압박이 있어 못오다가 이번에 2시간 웨이팅 뚫고 왔는데 완전 추천드려요,"항상 웨이팅 압박이 있어 못오다가, 이번에 2시간 웨이팅 뚫고 다시 왔는데 완전 추천드려요"
8880,용기있는 자의 겁없는 외침.,용기있는 자의 겁없는 자의 외침.
8886,"제가 드라마를 많이 보지는 않는 편인데, 이 드라마는 진짜 대박이네요.","제가 드라마를 많이 보지는 않는 편인데, 사실 이 드라마는 진짜 완전 대박이네요."
8891,오옷.. 부러 가시는건 아니길 바라며…,오옷.. 부러 가시는건 절대 아니길 바라며 …
8901,음악만을 위한 공연장을 만들어주세요,음악만을 위한 멋진 공연장을 만들어주세요
8903,무사히 잘 돌아가셔서 정말 다행이예요.,무사히 잘 돌아가셔서 정말 정말 다행이예요.
8914,Cj 올리브영 사고 관련 알리고자 합니다.,오늘 Cj 올리브영 사고 관련 알리고자 합니다.
8920,너무 작고 낑낑대는거 같아서 응원하게됨...,너무 작고 너무 낑낑대는거 같아서 응원하게됨...
8927,요즈음 인기 있다는 바라클라바 실 착용샷입니다.,요즈음 가장 인기 있다는 바라클라바 실 착용샷입니다.
8930,남들 쉬는 휴일에 일하는 사람들의 권익좀 지켜주세요!,남들 쉬는 휴일에 일하는 사람들의 권익좀 꼭 지켜주세요!
8951,좀 더 진하게 우려낸 기쿠지로의 여름,좀 더 진하게나마 우려낸 기쿠지로의 여름
8973,소비자의 선택권을 제한하고 갑질하는 통신사의 횡포를 막아 주십시요.,소비자의 선택권을 제한하고 갑질하는 통신사의 갑의 횡포를 막아 주십시요.
8978,다 좋은데.. 내롤모델의 끝이 죽는게 참..,둘 다 좋은데.. 내롤모델의 끝이 죽는게 참..
9001,세월호 특조위 2기가 필요합니다,그리고 세월호 특조위 2기가 필요합니다
9004,"고교에 학생 평가 자료를 요구하는 것, 그만해 주세요.","고교에 학생 평가 관련 자료를 요구하는 것, 그만해 주세요."
9015,최근 틱톡릴스쇼츠에서 졸업식용 춤으로 유명했던 노래입니다.,최근 틱톡릴스쇼츠에서 졸업식용의 춤으로 유명했던 노래입니다.
9043,양로원 진입로에 갑자기 흙을 쏟아 진입로를 막은 사건,양로원 진입로에 갑자기 흙을 쏟아 진입로를 가로 막은 사건
9049,낮은 단계의 고려 연방제 지지 합니다.,낮은 단계의 고려 연방제를 지지 합니다.
9052,꽃향기를 맡으면 힘이 솓는 꼬마자동차..!!!,이 꽃향기를 맡으면 힘이 꼬마자동차..!!!
9053,박정민을 다시보게된 영화 ㅋㅋ,박정민을 다시보게된 영화. ㅋㅋ
9054,2년동안 취업을 못하고 있는 취준생입니다.,2년동안 취업을 하지 못하고 있는 취준생입니다.
9072,헉 아몬드크로아상 ㅜㅜ미국 메이드 아몬드크로아상이라니ㅜ,헉 아몬드크로아상. ㅜㅜ미국 메이드 아몬드크로아상이라니ㅜ
9081,"처음 뵈었기에 각자 소개부터 하는 일들, 그리고 운동에 대한 얘기, 어떻게 살고 있는지에 대해 편히 얘기하는 시간이었습니다.","처음 뵈었기에 각자 소개부터 하는 어떤 일들, 그리고 어떤 운동에 대한 어떤 얘기, 어떻게 살고 있는지에 대해 편히 얘기하는 시간이었습니다."
9085,재가장기요양 재무회계. 84.3 너무 심합니다,# 재가장기요양 재무회계. 84. 3 너무 심합니다
9098,국가 운전직렬도 공개경쟁(경력)시험으로 선발해 주세요.,국가 운전직렬도 공개경쟁 ( 경력 ) 시험으로 선발해 보내 주세요.
9121,"삼성증권의 어마한 사태, 무차입 공매도의 신뢰도...","삼성증권의 어마한 사태, 무차입 공매도의 최고 신뢰도..."
9126,뿌린대로 거두어 정성껏 먹는 소박한 삶이 부럽다.,그저 뿌린대로 거두어 정성껏 먹는 소박한 삶이 부럽다.
9153,여러분도 한 번 해보세요..,여러분도 꼭 한 번 해보세요..
9174,와~~ 쓰다보니 따라가고 싶네요 ㅎㅎㅎ,와 ~ ~ 쓰다보니 더 따라가고 싶네요 ㅎㅎㅎ
9175,공아정...말 안되는 캐릭터인 것은 알겠지만 제발 옷이라도 똑바로 입고 있었으면...,공아정... 말 안되는. 개그 캐릭터인 것은 알겠지만 제발 옷이라도 똑바로 입고 있었으면...
9200,니콜라스 케이지 전성기 시절 작품.,니콜라스 케이지 케이지 전성기 시절 작품.
9206,sns 이수정양 사건에 진실을 밝혀주세요,sns 제발 이수정양 사건에 진실을 밝혀주세요
9229,사위가 장모한테 반말을 예의도없고 배운것도 없나요?,사위가 장모한테 반말을 예의도없고 배운것도 별로 없나요?
9237,다음에는 하와이서 보는걸로? ㅋㅋ,그럼 다음에는 하와이서 보는걸로? ㅋㅋ
9250,형광도료를 써서 안전하게 잘 보일 수 있도록 도와주세요.,형광도료를 써서 더 안전하게 잘 보일 수 있도록 도와주세요.
9266,국민연금 .. 어려운이들에게는 희망이될수있게 자율해지를..,국민연금.. 어려운이들에게는. 희망이될수있게 자율해지를..
9315,의견 1) 제게 우리 회사는 6-a 창작자인것 같네요!,의견 1 ) 제게 우리 회사는 6 - a 창작자인것도 같네요!
14,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.,여러분들간의 다양한 아이디어를 제안하고 함께 나누는 채널입니다.
19,2023 아시안컵 유치에 공동개최를 반대 합니다.,2023 아시안컵 유치에 공동개최를 강력히 반대 합니다.
20,가방에 넣어 다니면서 조금씩 먹습니다. ^^,가방에 넣어 다니면서 이것저것 조금씩 먹습니다. ^ ^
22,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ,양보단 한입 먹는 순간 고삐가 풀릴 것 같아요 ㅋㅋㅋ
23,조금유치하지만 가볍게 볼수는 있는영화네요!,조금유치하지만 가볍게도 볼수는 있는영화네요!
46,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ,저는 사과나 우유에만 프로틴타서 먹어요 ㅎㅎ
54,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.,여성가족부 폐지하고 그 예산을 좀 더 올바르게 잘 사용했으면 좋겠습니다.
55,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ,유령나올때 멜로디는 어릴때부터 충격적이였지 ㅋㅋㅋ
71,저도 데스커 사용 중입니다!,저도 데스커를 사용 중입니다!
72,스우파 리정 vs 시미즈에서 리정 배틀곡이기도합니다,스우파 리정전 vs 시미즈에서 리정 배틀곡이기도합니다
76,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,투혼과 함께 반담의 최고영화. > 복수의 칼날 반담 ~
77,아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요,아 아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요
81,각자 사는 곳의 날씨 이야기부터 시작했습니다.,각자 사는 두 곳의 날씨 이야기부터 시작했습니다.
107,건강보험 보장 확대에 오타반점 제거 시술도 포함해 주세요.,건강보험료 보장 확대에 오타반점 제거 시술도 포함해 주세요.
109,가난한 영화의 넘치는 여운..그녀의 말을 마저 듣고 싶다.,가난한 영화의 넘치는 여운.. 그녀의 마지막 말을 마저 듣고 싶다.
116,그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서 종종 그리신다고 하십니다!,"그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서, 또 종종 그리신다고 하십니다!"
121,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,. ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.
125,풍등 제작 및 날리기 행위를 법으로 금지해야합니다.,또한 풍등 제작 및 날리기 행위를 법으로 금지해야합니다.
128,여배우 노출은 심하던데.재미없어서 졸려서 본 영화.,여배우 노출은 좀 심하던데. 재미없어서 졸려서 본 영화.
129,5m 이동시 핸드폰 액정 자동꺼짐 설치 의무화 해주세요.,5m 이동시 핸드폰 액정에 자동꺼짐 설치 의무화 해주세요.
131,(잘 어울릴 수 있어요),""" ( 잘 어울릴 수 있어요 )"
155,많은 국민들이 엄청난 피해를 보고 있습니다.,많은 국민들이 엄청난 피해를 많이 보고 있습니다.
162,하늘색깔이 정말 파랗고 멋지네요.,하늘색깔이 정말 파랗고 정말 멋지네요.
180,이때의 베이싱어는 엔트립먼트의 제타존스가 따라올수 없다..,이때의 베이싱어는 엔트립먼트의 경우 제타존스가 따라올수 없다..
183,대통령에게 매일같이 욕을 하는 놈을 알고 있어요~~~~~~~~~~~~~~~~~~~~~~~~~,대통령에게 매일같이 욕을 하는 나쁜 놈을 알고 있어요 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
184,솔직히 돈주고 본게 아니라 돈아깝다는 소리는 못하고요.,솔직히 돈주고 본게 아니라서 돈아깝다는 소리는 못하고요.
193,보안 관련하여 내용 좀 정리해서 추후 공지/당부 따로 드리긴할텐데요~!,일단 보안 관련하여 내용 좀 정리해서 추후 공지 / 당부 따로 드리긴할텐데요 ~!
197,조만간 또 오피스 방문하게 되면 인사드리러 가겠습니다,조만간 또 오피스를 방문하게 되면 인사드리러 가겠습니다
199,제1차~2차연평해전 및 천안함사태에 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.,제1차 ~ 2차연평해전 및 천안함사태에 대한 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.
212,난 왜 광구가 생각이나는걸까...,난 왜 이 광구가 생각이나는걸까...
214,자영업자와 근로자를 위한 수평적인 법조정 절실합니다.,자영업자와 근로자를 위한 수평적인 노사 법조정 절실합니다.
230,수정본이 오면 보여드릴게요 ㅋㅋㅋ,수정본이 오면 보여드릴게요. ㅋㅋㅋ
232,이스람 이집트 난민이 인천공황으로 몰리고 있습니다.,최근 이스람 이집트 난민이 인천공황으로 몰리고 있습니다.
237,자꾸 이러시면 또 쪄갑니다….ㅋㅋ,자꾸 이러시면 또 안 쪄갑니다 …. ㅋㅋ
240,상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,- 상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.
260,이런 영화를 보면 주성치가 왜 대단한지 알수있다.,이런 영화를 보면 주성치가 왜 대단한지를 알수있다.
265,저희..옛날에 아주 조그만한 인연이 있더라구용...ㅎㅎ,저희.. 옛날에 아주. 조그만한 인연이 있더라구용... ㅎㅎ
268,더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.,더 더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.
290,지극히 일본스타일의 영화.  외국인에겐 천국보다 낯선.,지극히 일본스타일의 영화. 외국인에겐 그 천국보다 낯선.
292,저 크기 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙,만약 저 크기의 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙
296,조자룡도 완전 딴사람으로 만들어놓고,조자룡도 이제 완전 딴사람으로 만들어놓고
334,길거리 담배피우는 사람에게도 과태료 부과해주세요,길거리 담배피우는 사람에게도 반드시 과태료 부과해주세요
337,모든 공무원 시험의 한국사 과목은 한국사 능력검정시험으로 통일해야 합니다.,모든 공무원 시험의 한국사 과목은 한국사 능력검정시험으로 통일해야만 합니다.
339,빠진 프로젝트가 있으면 자유롭게 추가해주셔도 좋습니다!!,빠진 프로젝트가 있으면 자유롭게 다시 추가해주셔도 좋습니다!!
346,생각해 보니 오늘 12.12 아닌가요 ???,생각해 내 보니 오늘 12. 12 아닌가요???
356,[청년실업문제] 외국인근로자를 청년으로 대체하는 정책으로,[ 청년실업문제 ] 외국인근로자를 일반 청년으로 대체하는 정책으로
380,인터넷실명제가 꼭 필요한 시점입니다.,인터넷실명제가 꼭 꼭 필요한 시점입니다.
385,평양에서 공연하는거요. 북한인민에겐 고문 아닙니까?,평양에서 공연하는거요. 북한인민에겐 인권 고문 아닙니까?
391,"지난 금요일, 전사 휴무임에도 불구하고 악착같이 회사 사람들과 라운딩 ㅎㅎ","지난 금요일, 전사 휴무임에도 불구하고, 악착같이 다른 회사 사람들과 라운딩 ㅎㅎ"
398,제주에서 햇님을 달고오셨는지 오늘 아주 화창한 날씨에 산책이 좋았습니다.,왜 제주에서 햇님을 달고오셨는지 오늘 아주 화창한 날씨에 산책이 좋았습니다.
402,오랜만에 본 괜찮은 가족영화!,오랜만에 본 정말 괜찮은 가족영화!
421,알려지지 않은 공포물의 걸작,알려지지 않은 공포 공포물의 걸작
425,유튜브에서 많이 봤던 분이시군요!!!,전 유튜브에서 많이 봤던 분이시군요!!!
435,오 궁금하네요 고고 ㅎㅎ,오 궁금하네요 고고싱 ㅎㅎ
436,이런 소박함이 나는 참 좋다..,이런 소박함이 내게 나는 참 좋다..
445,어쩌다 보니 학교 다닐 때 이야기도 하면서 지금은 비대면으로 수업을 진행해서 아쉬운 점이 많은 것 같다고 이야기 나눴습니다.,어쩌다 보니 학교 다닐 때 때 이야기도 하면서 지금은 너무 너무 비대면으로 수업을 진행해서 아쉬운 점이 많은 것 같다고 이야기 나눴습니다.
457,유치원 3법이 아닌 강제 수용을 해 주십시요,제발 유치원 3법이 아닌 강제 수용을 해 주십시요
