,sentence_1,sentence_1_bert
4775,낼 저녁 급 번개를..?? ㅎㅎ,낼은 저녁 급 번개를..?? ㅎㅎ
4781,실효성없는 기상청 해체로 국민혈세를 지켜주세요,부디 실효성없는 기상청 해체로 국민혈세를 지켜주세요
4785,"육안 확인이 명백한 하자 차량을 출고, 판매하는 쌍용차(노조)를 고발한다.","육안 확인이 명백한데 하자 차량을 출고, 판매하는 쌍용차 ( 노조 ) 를 고발한다."
4789,수급자가 대학병원에 쉽게 가게 해주세요,수급자가 대학병원에서 쉽게 가게 해주세요
4798,MBC 야구중계 캐스터는 한명재 정병문 정용검 캐스터가 해야합니다. 원상태로 돌려주세요.,MBC의 야구중계 캐스터는 한명재 정병문 정용검 캐스터가 해야합니다. 그럼 원상태로 돌려주세요.
4804,브래들리 쿠퍼 때문에 보는 분들ㅋㅋ 보지 마세요ㅋㅋ,브래들리 쿠퍼 때문에 보는 분들ㅋㅋ 보지는 마세요ㅋㅋ
4809,이런 이벤트 전에 한번 브랜드디자인 팀에 에셋들을 미리 공유해주실 수 있을까요??,이런 이벤트 진행 시작 전에 한번 브랜드디자인 팀에 에셋들을 미리 공유해주실 수 있을까요??
4813,근데 정말 이 곳의 광고가 여러분들한테 먹히는건가용..?,근데 이게 정말 이 곳의 광고가 여러분들한테 먹히는건가용..?
4822,ET+에일리언 그리고 어설픈 군인들,ET + 에일리언 그리고 어설픈 퇴역 군인들
4824,왠만한 감성으로 들이대도 통속적으로 느껴진다.,왠만한 감성으로만 들이대도 통속적으로 느껴진다.
4846,네ㅋㅋ 알람 뜨더라고요! : ),네ㅋㅋ 알람 뜨더라고요! : - )
4851,부영 무주덕유산 리조트 부당한 대우,부영 무주덕유산 리조트 부당한 특혜 대우
4852,"코로나에 대한 이야기도 하고, 제가 런닝을 ~하다말다~ 하고 있어서 런닝에 대한 조언도 받았습니다.","코로나에 대한 이야기도 하고, 또 제가 런닝을 ~ 하다말다 ~ 하고 있어서, 런닝에 대한 조언도 받았습니다."
4854,열정축구 그만하라 왜냐하면 지금 선수들 연골이 부서지고 있기 때문입니다.,열정축구는 그만하라 왜냐하면 지금 선수들 연골이 부서지고 있기 때문입니다.
4855,"드루킹, 김경수에 ‘개성공단 2천만평 개발 정책’도 제안했다"" 사실입니까?","드루킹, 김경수에 ‘ 개성공단 용지 2천만평 개발 정책 ’ 도 제안했다 "" 사실입니까?"
4857,요게 싸게 사면 2만원에 살 수 있다는 정보를 입수했습니다 ㅎㅎ,요게 싸게 사면 약 2만원에서 살 수 있다는 정보를 입수했습니다 ㅎㅎ
4863,"많은 분들이 더 적극적으로 의견 내주시고, 많은 정보를 공유하는 좋은 문화를 계속 만들어 나가면 좋겠습니다.","많은 분들이 좀 더 적극적으로 의견을 내주시고, 많은 정보를 공유하는 좋은 문화를 계속 만들어 나가면 좋겠습니다."
4865,대통령 문재인의 사퇴를 청원한다.,대통령 문재인의 즉각 사퇴를 청원한다.
4871,학교의 재정감사를 강화하여 주십시요!,각급 학교의 재정감사를 강화하여 주십시요!
4877,그런 연인을 만나 봤으면~~~,그런 ~ 연인을 만나 봤으면 ~ ~ ~
4885,서민을 위한 큰별이 졌네요.... ㅜㅜ,서민을 위한다는 큰별이 졌네요.... ㅜㅜ
4887,스윙스의 의가사 제대와 랩과외로 인한 수익활동!?,그리고 스윙스의 의가사 제대와 랩과외로 인한 수익활동!?
4898,그해 우리는 보시는 분 없나요,그런데 그해 우리는 보시는 분 없나요
4899,열매 먹을 수 있나요? 궁금궁금],열매 먹을 수 있나요? [ 궁금궁금 ]
4903,이 레이블의 첫 그룹이어서 벌써 많은 기대를 받고 있습니다.,이 레이블의 첫 그룹이어서 그런지 벌써 많은 기대를 받고 있습니다.
4909,국민연금 소득별 상한제 폐지..??,국민연금의 소득별 상한제 폐지..??
4915,아마도 기사님께서 픽업하시는 시간은 4시 30분 이후가 좋을 것 같은데..,아마도 택시 기사님께서 픽업하시는 시간은 4시 30분 이후가 가장 좋을 것 같은데..
4925,모두 좋은 하루 보내세요 :),우리 모두 좋은 하루 보내세요 : )
4929,"입고되면 순차 배송되는데 3월 둘째 주, 늦으면 셋째 주에 받으시게 된다고 합니다","입고되면 순차 배송되는데 3월에 둘째 주, 늦으면 셋째 주에 배송 받으시게 된다고 합니다"
4930,ㅋㅋ 와인과 인생의 공통점인가요,ㅋㅋ 와인과 인생의 어떤 공통점인가요
4935,그래도 안 죽고 기특하네요,그래도 안 죽고 나니 기특하네요
4938,3군데 따로 주었는데 이렇게 모여 먹는 이유가 뭘까요,3군데 따로 주었는데 이렇게 모여 먹는 이유가 도대체 뭘까요
4942,제주도 중국인들 문제 신경 좀 쓰세요.,제주도 중국인들 안전 문제 신경 좀 쓰세요.
4948,"독도는 대한민국의 영토이며, 독도의 주인은 대한민국 국민이다' 라는 공식적인 발언 한번만 부탁드립니다.","' 독도는 대한민국의 고유 영토이며, 독도의 주인은 대한민국 국민이다'라는 공식적인 발언 한번만 부탁드립니다."
4952,백패킹 성지로 엄청 유명하더라구요.,백패킹 성지로도 엄청 유명하더라구요.
4955,"경제활성화 돈 조기집행 좋지만 단기성과급급 말고 내실정책요망, 일자리 예산 집행 누수방지 철저해야.","경제활성화, 돈 조기집행 좋지만 단기성과급급 말고 내실정책요망, 청년 일자리 예산 집행 누수방지 철저해야."
4965,와 이정도면 해낸것과 진배없!! ㅎㅎ,ㅎㅎ 와 이정도면 해낸것과 진배없!! ㅎㅎ
4975,실시간 재난 상황 앱,실시간 재난 상황 안내 앱
4976,그들은 즐겁게 춤을 추는데 난 왜 흥겹지 않을까?,그들은 즐겁게 춤을 추는데 난 왜 흥겹지는 않을까?
4989,섣부른 종전선언과 대한민국의 일방적 무장해제를 반대합니다,그리고 섣부른 종전선언과 대한민국의 일방적 무장해제를 반대합니다
4991,오… 생산성 신동과 화술의 신동 두분이 만나셨군요.,오 … 생산성 신동과 화술의 달인 신동 두분이 만나셨군요.
5005,당신이 만든영화는 발벗고 나서서 못보게 해야될꺼같네요.,당신이 만든영화는 발벗고 나서서 못보게끔 해야될꺼같네요.
5020,GDI 엔진 엔진오일감소 현상 조사 및 조사과정 공론화.,- GDI 엔진 엔진오일감소 현상 조사 및 조사과정 공론화.
5029,"그간 모든 대통령이 실패했던 건 제도 잘못돼서가 아니라 사람이 잘못됐기 때문,","그간 모든 게 박근혜 대통령이 실패했던 건 제도 잘못돼서가 아니라 사람이 잘못됐기 때문,"
5035,시력 빵빵은 덤! ㅋㅋ,시력 빵빵은 역시 덤! ㅋㅋ
5038,리비도 그 자체를 갈망하는 극단적인 인물들.,그리고 리비도 그 자체를 갈망하는 극단적인 인물들.
5048,국민을 생각하는 거라면 난민 허가 금지해주세요,국민을 잘못 생각하는 거라면 난민 허가 금지해주세요
5052,수많은 숏컷을 잘라다 붙인 너덜너덜한 영상.,그리고 수많은 숏컷을 잘라다 붙인 너덜너덜한 영상.
5071,엘처럼 멋지게 나도 살겁니당,엘처럼 멋지게 나도 잘 살겁니당
5081,저도 빨리 나오면 좋겠네요 ㅋㅋㅋ,저도 빨리 나오면 좋겠네요. ㅋㅋㅋ
5093,여러가지 의견도 묻고 많이 배울 수 있었습니다~!!!,여러가지 의견도 묻고 많이들 배울 수 있었습니다 ~!!!
5097,"외모 지상주의에 대한 통렬한 비판이나 풍자를 기대했는데, 어설프다 너무 어설퍼","외모 지상주의에 대한 다소 통렬한 비판이나 풍자를 기대했는데, 어설프다 너무 너무 어설퍼"
5098,"국민 70프로 이상 절대다수의 지지를 받은 촛불집회 시, 군 출동 등 검토한 관련자 조속히 '수사'해 의법조치해 주세요.","국민 70프로 이상 절대다수의 지지를 받은 촛불집회 시, 군 출동 등 검토한 후 관련자를 조속히'수사'해 의법조치해주 주세요."
5106,아카데미 주연상 수상자들의 연기는 역시 남다르다.,아카데미 주연상 수상자들의 연기 연기는 역시 남다르다.
5109,그 와중에 눈감으신 순간을 캡쳐해버렸네요…,그 와중에서 눈감으신 순간을 캡쳐해버렸네요 …
5111,동의하지 않으셔도 되는데 꼭 읽어주세요,동의하지 않으셔도 되는데 꼭 잘 읽어주세요
5117,ㅋㅋㅋ 서프라이즈는 물건너갔습니다 …,ㅋㅋㅋ 서프라이즈는 물건너갔습니다만 …
5124,가능하면 내일 다같이 찍으면 좋을듯요!!,가능하면 내일은 다같이 찍으면 좋을듯요!!
5130,혹시 의왕 백운호수 근처 사시나요!!?,혹시 의왕 백운호수 근처에 사시나요!!?
5132,한 여배우를 죽음으로몰아간 정신나간 감독...,한 여배우를 죽음으로몰아간 정신나간 최강희 감독...
5133,우와 진짜멋져요... 마테호른 바라보며 스키라니...ㅠㅠ,. 우와 진짜멋져요... 마테호른 바라보며 스키라니... ㅠㅠ
5134,국가대표 썰매 종목 선수단 토사구팽...,국가대표 썰매 종목 선수단은 토사구팽...
5143,"로컬스티치! 라는 공유오피스가 있는데 곧 신사, 가로수길점이 생간다고 들었어요!!","로컬스티치!! 라는 공유오피스가 있는데 곧 신사, 가로수길점이 생간다고 들었어요!!"
5148,그 중에서도 중심을 잡고 저변을 넓히는 것이 좋다는 말씀 기억하겠습니다!!,그 중에서도 중심을 잘 잡고 저변을 넓히는 것이 좋다는 말씀을 기억하겠습니다!!
5149,국민연금에게 임대사업 혜택을 주자,국민연금에게 주택 임대사업 혜택을 주자
5150,12시 10분 전에 마치겠습니다!!,12시 10분 조금 전에 마치겠습니다!!
5151,이번 봄에 대규모 가드닝? 계획 중입니다.,이번 봄에 대규모 가드닝? 계획 진행 중입니다.
5155,설문 응답 못하신 분들은 오늘 중에 소중한 한표 부탁드리겠습니다!,설문에 응답 못하신 분들은 오늘 중에 소중한 한표 부탁드리겠습니다!
5157,"편의점, 마켓 진상들은 왜 처벌하지 않나요?","편의점, 온라인 마켓 진상들은 왜 처벌하지 않나요?"
5159,"사기당한건 머고,, 복수는머고,, 쓸데없는 전개..","사기당한건 또 머고,, 복수는머고,, 쓸데없는 전개.."
5162,사교육조장하는 각종 대회 교육청에서부터 자제해주세요,사교육조장하는 날 각종 대회 교육청에서부터 자제해주세요
5165,"서번째 보면서 눈물을 흘렸다,,",", 서번째 보면서 눈물을 흘렸다,,"
5186,A: 전체적인 그림을 한 판으로 그리는 것이 중요하다.,A : 전체적인 그림 그림을 한 판으로 그리는 것이 중요하다.
5200,김희철과 예능심판자는 서로 안맞는듯..,. 김희철과 예능심판자는 서로 안맞는듯..
5206,github co-pilot은 제가 깜빡하기 쉬운 param을 넣어주거나 if 같은것의 조건들을 다 체크해줘서 편한것 같습니다.,github co - pilot은 제가 깜빡하기 쉬운 param을 다 넣어주거나 if 같은것의 조건들을 다 미리 체크해줘서 편한것 같습니다.
5219,연말 남는 예산으로 도로공사하는 폐단을 없애서 세금낭비를 막아주시길,연말 남는 예산으로 도로공사하는 폐단을 없애서 세금낭비를 최대한 막아주시길
5221,하지원은 뭐든지 어울려 영화계 블루칩.,하지원은 뭐든지 잘 어울려 영화계 블루칩.
5223,차가 협소한 관계로.. 같이 가실 분 세 분 더 모아요!!!!,아무래도 차가 협소한 편인 관계로.. 같이 가실 분 세 분 더 모아요!!!!
5233,어깨에 앉은 꿀벌 아닌가요?,어깨에 앉은 게 꿀벌 아닌가요?
5245,그냥 명예회손죄로 고소 되어도 할말이 없을만큼.,그냥 명예회손죄로 고소 되어도 할말이 별로 없을만큼.
5254,민주당 정권 대표께서 20년은 더해야 한다는데 조금더분발해서 30 년은 해야하지요,"민주당 정권 대표께서 20년은 더 더해야 한다는데, 조금더분발해서 30 년은 해야하지요"
5255,국민연금 해약이 될 수 있게 해주세요.,제발 국민연금 해약이 될 수 있게 해주세요.
5259,그렇게 점점 사라진다는 깊은뜻이있습니다.,그렇게하면 점점 사라진다는 깊은뜻이있습니다.
5264,우연하게 접한 너무 리얼한....,우연하게 접한 게 너무 리얼한....
5270,무고한 넋들이여 영면하소서 악인들은 지옥에 갈겁니다.,무고한 넋들이여 영면하소서 악인들은 지옥에나 갈겁니다.
5279,다시 신나게 달리기에 좋은 프렌즈 테마송 1920년대부터의 시대별 편곡 보내드려요,다시 신나게 달리기에 딱 좋은 프렌즈 테마송 1920년대부터의 시대별 편곡으로 보내드려요
5283,혹시 조인해도 될까요? (라고 패기 있게 외치긴 했는데 댓글들을 보니까..... 사알짝... 두려운 마음이 드는데..),혹시 조인해도 될까요?. ( 라고 패기 있게도 외치긴 했는데 댓글들을 보니까..... 사알짝... 두려운 마음이 드는데.. )
5300,어느분인지 말씀주시면 제가 개인슬리퍼라고 살짝 말씀드려보겠습니다!,어느분인지 말씀주시면 제가 개인슬리퍼라고 한다면 살짝 말씀드려보겠습니다!
5301,마치 캠핑 온거 같네요...,마치 오늘 캠핑 온거 같네요...
5308,"이미 여러차례 실패한 단계별 보상 조치 후 비핵화는 의미가 없고 시간끌기, 거짓 비핵화 일종입니다.","이미 여러차례나 실패한 단계별 보상 조치 후 비핵화는 의미가 없고, 시간끌기, 거짓 비핵화 일종입니다."
5321,카우프만의 영화라면 설명이 필요없다,카우프만의 영화라면 아무런 설명이 필요없다
5346,예능+교양을 섞어야 사람들이 오래 재미있게 보는.,예능 + 교양을 잘 섞어야 사람들이 오래 재미있게 보는.
5349,버니 샌더스를 미국 대통령으로 만들어주십시오.,그리고 버니 샌더스를 미국 대통령으로 만들어주십시오.
5352,안성기가 김규리에 반하다니.. 무리수.,. 안성기가 김규리에 반하다니.. 무리수.
5358,슬프지만 의견을 남길 수가 없는 것 같습니다 ;ㅁ;,슬프지만 의견을 많이 남길 수가 없는 것 같습니다 ; ㅁ ;
5373,:) 처리는 월요일 11시까지 해주실수 있을까요?,: ) 처리는 내일 월요일 11시까지 해주실수 있을까요?
5389,와. 이게 정말 되네요.,와. 이게 진짜 정말 되네요.
5398,부엉이 바위를 관광지로 만들어주세요,부엉이 바위를 관광지로 잘 만들어주세요
5402,원작에 대한 예우 차원에서 저 점수라도 주는거임,이건 원작에 대한 예우 차원에서 저 점수라도 주는거임
5406,교사 성과급 등급별 지급 폐지 및 일괄지급 또는 일괄수당으로의 전환 요청,교사 성과급 등급별 지급 폐지 및 일괄지급 폐지 또는 일괄수당으로의 전환을 요청
5409,이뻣던 종초홍~ 그리고 홍금보..,이뻣던 종초홍 ~ ~ 그리고 홍금보..
5414,사람들의 말이 다 맞다,사람들의 말이 다들 맞다
5435,앞으로 법카 쓰고 반드시 꼭 규칙대로 기입하겠습니다,앞으로 법카를 쓰고 반드시 꼭 규칙대로 기입하겠습니다
5441,성평등을 위해서 평가기준을 올려주세요,성평등을 위해서 평가기준을 좀 올려주세요
5449,진짜 대박 ㅋㅋ윗글이랑 이어지는줄 알았어요,진짜 대박 ㅋㅋ윗글이랑 같이 이어지는줄 알았어요
5452,내 세상은 상류사회가 아니니까,어차피 내 세상은 상류사회가 아니니까
5453,이탈리아를 대표하는 영화라 생각함,그만큼 이탈리아를 대표하는 영화라 생각함
5454,이거 웃으면 안되는데 아마 만우절 최고 장난이 아닐까 싶네요.,이거 웃으면 안되는데 아마 만우절 최고의 장난이 아닐까 싶네요.
5455,저도 친구한테 링크 받았어요 역시 핫하네요,저도 친구한테 링크 받았어요 역시나 핫하네요
5462,흥덕역 설치 간절히 원합니다.,흥덕역 설치를 간절히 원합니다.
5467,이런 애들장난 보고싶은게 아니었는데,이런 애들장난만 보고싶은게 아니었는데
5468,오 저도 버터플라이 한단 모셔왔는데! ㅎㅎ,ㅎㅎ 오 저도 버터플라이 한단 모셔왔는데! ㅎㅎ
5469,저희아가들이 출생신고할수있도록 제발 도움부탁드립니다,부디 저희아가들이 출생신고할수있도록 제발 도움부탁드립니다
5470,화산폭발에 비유한 크로노스가 정말 압권이었다,화산폭발에 대해 비유한 크로노스가 정말 압권이었다
5475,최대 수용은 왜있는거죠 ㅋㅋㅋ,근데 최대 수용은 왜있는거죠 ㅋㅋㅋ
5493,ㅋㅋㅋ 네 고기류라면 저도 좀 알아볼께요!,ㅋㅋㅋ 네 고기류라면 저도 좀더 알아볼께요!
5497,학살수괴 전두환의 즉각적인 구속을 바랍니다!,학살수괴 전두환의 즉각 즉각적인 구속을 바랍니다!
5498,저도 망고 킬링 잘 할 수 있는데요...,저도 망고 킬링 잘 안 할 수 있는데요...
5499,이게 5만원 정도 하는 것인데 괜찮은듯요.,근데 이게 5만원 정도 하는 것인데 괜찮은듯요.
5515,저도 사실 보자마자 이게 떠오르긴 했… ㅋㅋ,저도 사실 보자마자 이게 떠오르긴 했 … … ㅋㅋ
5519,경기도 오산이 AI교육 도시였군요!!,경기도 화성시 오산이 AI교육 도시였군요!!
5520,전국 땅굴탐사개시 및 탐사현황공개,전국 땅굴탐사개시 및 각종 탐사현황공개
5531,요즘 클라이밍을 열심히 하신다는 얘기에.. 저도 한번 체험해보고 겨울 취미로 낙찰해보기로..!,요즘 클라이밍을 열심히 하신다는 얘기에.. 저도 한번 체험해보고 이번 겨울에 취미로 낙찰해보기로..!
5540,휴대전화를 이용한 선거운동을 금지해주세요,휴대전화를 이용한 선거운동을 전면 금지해주세요
5541,맥어보이를 보는 눈이 필스보기전과 후로 완전히 달라졌다,맥어보이를 보는 순간 눈이 필스보기전과 후로 완전히 달라졌다
5548,학교폭력 및 청소년 범죄를 강하게 다스려주세요,학교폭력 가해자 및 청소년 범죄를 강하게 다스려주세요
5553,성룡이 카레서같이 했더는 자체가 어색 그 시작,성룡이 카레서같이 했더는 자체가 좀 어색 그 시작
5554,바다가 너무 예쁘지만 사람은 별로 없어서 한적하다고 하시네요!!,바다가 너무 예쁘지만 사람은 별로 없어서 너무 한적하다고 하시네요!!
5562,지금 보니 성우들이 똑같이 생겼네...,지금 보니 성우들이 다 똑같이 생겼네...
5583,떠넘기기 행정.. 이게 아직도 잔재한다니 충격입니다.,책임 떠넘기기 행정.. 이게 아직도 잔재한다니 충격입니다.
5605,대게 재밌게 봤는데 이게 한국꺼였구나...,대게 재밌게 봤는데. 이게 한국꺼였구나...
5625,설마 다른 정답이 있는건가욬ㅋ,설마 다른 건 정답이
5638,저는 사실 우리 중에 제일 좋은 홈가드닝 환경 가지고 계시는 얘기가 제일 기대되는 ㅎㅎ,저는 사실 우리 중에 제일 안 좋은 그런 홈가드닝 환경 가지고 계시는 얘기가 제일 기대되는 ㅎㅎ
5646,리얼미터 전국조사 503명이 전체를 전국대표한다니 공표를 못하게좀 해 주세요,"리얼미터 전국조사 503명이 전체를 전국대표한다니, 공표를 못하게좀 해 주세요"
5652,"심평원, 한전 회식카드지출비 해외출장비 지원자금 조사의뢰 건","심평원, 한전 회식카드지출비 해외출장비 지원자금 공개 조사의뢰 건"
5653,오~ 이거 정말 진리!!,우와 오 ~ 이거 정말 진리!!
5654,눈물이 안나올 수 가 없어요.,눈물이 이렇게 안나올 수 가 없어요.
5656,정신 차려 보니 이번주...,정신 차려고 보니 이번주...
5667,저도 꼭 긴머리연맹?에 들어갈 수 있도록 열심히 기르겠습니다 ㅋㅋㅋ,저도 꼭 긴머리연맹? 에 들어갈 수 있도록 더 열심히 기르겠습니다 ㅋㅋㅋ
5668,노는 걸 좋아해서 이러고 놀고 있습니다 ㅋ,노는 걸 좋아해서 이러고 놀고는 있습니다 ㅋ
5677,헤헷 자꾸 동여매서 결국 똑같아지는 중이예용ㅋㅋ,헤헷 자꾸 동여매서 ㅋㅋㅋ 결국 똑같아지는 중이예용ㅋㅋ
5683,"KBS ""명견만리"" 프로그램을 없애주세요","KBS "" 명견만리 "" 라는 프로그램을 없애주세요"
5685,오오 이제 4명 되었네요 ㅋㅋ,오오 이제 4명 다 되었네요 ㅋㅋ
5686,루이즈 보르고앙은 숨막히게 아름다웠지만 영화는 그녀를 빛좋은 개살구로 만들었다.,루이즈 보르고앙은 숨막히게 아름다웠지만 영화는 그녀를 빛좋은 개살구로서 만들었다.
5690,와 한달에 단편소설 한 편 작성.. 대단하셔요 !! 궁금해집니다!!!,. 와 한달에 단편소설 한 편 작성.. 대단하셔요!! 궁금해집니다!!!
5695,이나라 사법권이 언제부터 이렇게 발바닥 까지 미끄러 졌나요.,이나라 사법권이 언제부터 이렇게 발바닥 까지 미끄러워 졌나요.
5698,단체보험가입확인서 발급받을 수 있을까요?,혹시 단체보험가입확인서 발급받을 수 있을까요?
5707,제가 기술 사회학에 관심이 있다고 하니 쿠버네티스 다큐멘터리와 쿠버네티스 다큐멘터리라는 책을 추천해주시기도 하셨습니다.,제가 기술 사회학에 관심이 좀 있다고는 하니 쿠버네티스 다큐멘터리와 쿠버네티스 다큐멘터리라는 책을 추천해주시기도 하셨습니다.
5710,운전면허를 2~5년 갱신이 필요한 자격면허로 해주시기를 청원드립니다,운전면허를 2 ~ 5년간 갱신이 필요한 자격면허로 해주시기를 청원드립니다
5723,태극기를 바르게 해설하여 주세요.,먼저 태극기를 바르게 해설하여 주세요.
5728,오해하신 것 같다고 이야기할까 하다가 알아서 더 잘하라는 뜻으로 파악했습니다..ㅋㅋ,오해하신 것 같다고 이야기할까 하다가 알아서 좀 더 더 잘하라는 뜻으로 파악했습니다.. ㅋㅋ
5733,실제 배경이였고...! 멋진 뷰에 살고 계시더라구요!!,! 실제 배경이였고...! 멋진 뷰에 살고 계시더라구요!!
5744,오 거의 똑같네요 ㅋㅋ,오 거의 똑같네요. ㅋㅋ
5755,국내 산업 좀 보호해주세요.,국내 산업 좀 더 보호해주세요.
5763,"요리도 잘하셔서 김밥, 케밥, 닭갈비를 만든다고 해요.","그래서 요리도 잘하셔서 김밥, 케밥, 닭갈비를 만든다고 해요."
5771,오늘 바쁘신데 시간 내주셔서 감사합니다 :),오늘도 바쁘신데 시간 내주셔서 감사합니다 : )
5783,우와 여기 글자 올라가면 조명이 비춰집니다.,우와 여기 글자 올라가면서 조명이 비춰집니다.
5784,국민연금 의무가입 폐지 및 중도상환에 대한 건,국민연금 의무가입제 폐지 및 중도상환에 대한 건
5785,빗썸 원화 출금 금지 풀어주시고 해킹이 맞는지 압수수색 부탁드립니다.,빗썸 원화 출금 금지 풀어주시고 해킹이 맞는지. 압수수색 부탁드립니다.
5787,어제 저녁에 족발이랑 먹었네요 ㅋㅋㅋ,어제 저녁에 족발이랑 같이 먹었네요 ㅋㅋㅋ
5791,그러고 보니 대부분 그냥 업체 잔들이네요. ㅋㅋ,그러고 보니 대부분 그냥 업체 잔들이네요.. ㅋㅋ
5798,그래서 사업자번호 및 회사 전화번호를 -(대시)를 빼고 입력되어있으면 어떨까..,- 그래서 사업자번호 및 회사 전화번호를 - ( 대시 ) 를 빼고 입력되어있으면 어떨까..
5808,여기서 사라지는 것은 나이를 먹든 병에 걸려 죽든 죽음을 의미하는거죠,여기서 사라지는 것은 어떤 이유로 나이를 먹든 병에 걸려 죽든 죽음을 의미하는거죠
5836,다음에는 와인샵에서 뵙게 되면 좋겠네요~!,다음에는 와인샵에서 뵙게 되면 참 좋겠네요 ~!
5837,하~~이런걸 라스라고 할수 있는지....,하 ~ ~ 이런걸 무슨 라스라고 할수 있는지....
5848,판결을 AI에 맡기도록 해주세요.,판결을 AI에게 맡기도록 해주세요.
5849,"줄거리를 보고 명준, 만갑, 천수, 강선생 총 번 이상의 정사씬이 나올꺼 같아 별 다섯개를 준다!!","줄거리를 보고 명준, 만갑, 천수, 강선생 총 세 번 이상의 정사씬이 나올꺼 같아 별 다섯개를 다 준다!!"
5851,다음에 또 같이 해요~,그 다음에 또 같이 해요 ~
5853,"그런거 보면,엄살들이 심하다는 생각도 없지는 않다","물론 그런거 보면, 엄살들이 심하다는 생각도 없지는 않다"
5856,밑의분 말을 좀 빌리자면 제목을아내의 유혹:루비반지,밑의분 말을 좀 빌리자면 제목을아내의의 유혹 : 루비반지
5857,끝마칠때쯤 갑자기 딸이 들어와서 아빠 생존체크 당했습니다.,끝마칠때쯤 갑자기 딸이 들어와서 엄마 아빠 생존체크 당했습니다.
5877,2월에는 좀더 업그레이드 된 모습으로 찾아뵙겠습니다.,2월에는 다시 좀더 업그레이드 된 모습으로 찾아뵙겠습니다.
5878,곧 받으실 셔츠 모델핏 먼저 보셔요.,곧 받으실 셔츠 모델핏 먼저 받아 보셔요.
5879,볼투리가를 끝장낼 수도 있었다는 생각을 했는데...,볼투리가를 완전히 끝장낼 수도 있었다는 생각을 했는데...
5883,"레트로 느낌으로 한글버전을 담고 싶었으나, 어딘가 모르게 상스러운 디자인으로 탈락..","레트로 느낌으로 한글버전을 담고는 싶었으나, 어딘가 모르게 상스러운 한글 디자인으로 탈락.."
5884,기소중지자 공소시효 만료 제도 패기해주세요!,검찰 기소중지자 공소시효 만료 제도 패기해주세요!
5901,저도 고민했고 또 같은 질문도 여러 번 받은지라 꽤 공감하면서 읽었네요 ㅎㅎ,저도 고민했고 또 같은 질문도 여러 번 번 받은지라서 꽤 공감하면서 읽었네요 ㅎㅎ
5902,POSCO 진실을 말하고 면직당한 정민우 전 팀장을 복직시켜주십시요,POSCO에 진실을 말하고 면직당한 정민우 전 팀장을 복직시켜주십시요
5904,시간이넘는닥터지바고도 거뜬히 보는 내가.,시간이넘는닥터지바고도. 거뜬히 보는 내가.
5914,"명절, 제사음식의 기름진 음식 가짓수 줄이기 캠페인 청원합니다","명절, 명절 제사음식의 기름진 음식 가짓수 줄이기 캠페인 청원합니다"
5929,미세먼지 대책 마련 촉구 - 우리는 다시금 뭉쳐야 합니다,미세먼지 대책 마련 촉구 - 우리는 다시금 똘똘 뭉쳐야 합니다
5931,이걸 공군이 보면 얼마나 빡칠까 ㅋㅋ,근데 이걸 공군이 보면 얼마나 빡칠까 ㅋㅋ
5933,이게 다 박근혜 때문이다,이게 전부 다 박근혜 때문이다
5934,이번엔 좀 멀리 10K 코스로.,이번엔 좀 멀리서 10K 코스로.
5949,그리고 이영화 이미 풀렸음..,그리고 이영화는 이미 풀렸음..
5962,두 분 생각나서 편의점에서 쓸어왔습니다,두 분 생각나서 편의점에서 다시 쓸어왔습니다
5972,저번에 극장갔더니왠 되도않는 영화들만 극장에 꽉차있고 사전 설레발광고 많은거 막상보면 최악 끄응~,저번에 극장갔더니왠 되도않는 영화들만이 극장에 꽉차있고 사전 설레발광고 많은거 막상보면 최악이다 끄응 ~
5983,"스타트업 이야기, 너무 먼 광교, 효자 아들 덕분에 생각보다 힘들지는 않다","스타트업 이야기, 너무 먼 광교, 효자 두 명의 아들 덕분에 생각보다 힘들지는 않다"
5995,TV에서 나올 때 한 번 봐볼까 하다가 분만에 꺼버림....절레절레.,TV에서 나올 때 한 번 봐볼까 하다가 몇 분만에 꺼버림.... 절레절레.
6007,어떤 장단점이 있는지 지금 불편한점은 어떤 부분인지 비용이 얼마인지 알려주시면 바로 검토해서 고고 해봅시다.,"어떤 장단점이 있는지, 지금 불편한점은 어떤 부분인지, 비용이 얼마인지 알려주시면 바로 검토해서 고고 해봅시다."
6011,온라인 카지노 게임 현금화 및 모바일 방송 송출 문제,온라인 카지노 게임 현금화 및 모바일 방송 송출 중단 문제
6013,악마의 씨'를 만든 감독 맞아?.,악마의'씨'를 만든 감독 맞아?.
6038,재밌을거 같은데 땀나는거 생각하면 하기 싫어질 듯한..,재밌을거 같은데 땀나는거를 생각하면 하기 싫어질 듯한..
6039,불편한 손님의 목숨이 끝난후 얘기는 시작된다,불편한 두 손님의 목숨이 끝난후 얘기는 시작된다
6042,여기서 기술을 만들었나 보군요.,여기서 새로운 기술을 만들었나 보군요.
6043,결혼 이후에는 요리에 관심이 생겨 다양한 요리에 도전하셨는데 온갖 재료로 김밥을 말아보는 시도를 하시고 김밥은 항상 맛있다는 결론을 얻으셨다고 합니다.,결혼 이후에는 김밥 요리에 관심이 생겨 다양한 요리에 많이 도전하셨는데 온갖 재료로 김밥을 직접 말아보는 시도를 하시고 김밥은 항상 맛있다는 결론을 얻으셨다고 합니다.
