,sentence_2,sentence_2_bert
4813,신규 입사자라서 따로 그렇게 설정된 걸까용 ..?,신규 입사자라서 따로 그렇게 설정된다는 걸까용..?
4822,"단지, 좀 꼬부라진 혓소리 였어야 하지 않았나 싶음.","그건 단지, 좀 꼬부라진 혓소리 였어야 하지 않았나 싶음."
4824,어떤 감정으로 만져도 인기가 있습니다.,어떤 감정으로만 만져도 인기가 있습니다.
4846,네네 그부분 추가할게요! : ),네네 그부분만 추가할게요! : )
4851,6급이하 호봉 리미트 제도 만들어 주십시오,6급이하 호봉 리미트 제도 만들어 보여 주십시오
4852,서로 전공 이야기도 하고 업무 이야기도 했지만 무엇보다 올스타전에 대한 기대가 가장 컸네요!,물론 서로 전공 이야기도 많이 하고 업무 이야기도 했지만 무엇보다 올스타전에 대한 기대가 가장 컸네요!
4854,방문 요양보호사 도움받는 가족의 현실적인 입장입니다.,방문 요양보호사 도움받는 가족의 현실적인 지원 입장입니다.
4855,전국 균형 발전과 '거점 국립대 통합' 공약을 언제 실천할 것입니까?,전국 균형 균형 발전과'거점 국립대 통합'공약을 언제부터 실천할 것입니까?
4857,요리를 한번 먹으면 비슷한 맛을 구현해 낼 수 있는 능력자라고 하시니 부럽네요 ㅎㅎ.,요리를 한번만 먹으면 비슷한 맛과 맛을 구현해 낼 수 있는 능력자라고 하시니 부럽네요 ㅎㅎ.
4860,크학. 리모트를 상징하는 텅빈 사무실? ㅠㅠ,크학. 리모트를 상징하는. 텅빈 사무실? ㅠㅠ
4863,"좋은 AI 모델이 나오기 위해서는 좋은 데이터가 필수적으로 필요한데, 그 부분에서 항상 열심히 해주시는 데이터 팀 분들 감사합니다.","좋은 AI 모델이 많이 나오기 위해서는 좋은 데이터가 필수적으로 필요한데, 특히 그 부분에서 항상 열심히 해주시는 데이터 팀 모든 분들 감사합니다."
4865,문희상 국회의장 파면을 청원합니다.,문희상 국회의장의 파면을 청원합니다.
4871,국민연금등 4대연금을 통합하여 주십시요.,국민연금등 4대연금을 모두 통합하여 주십시요.
4874,매회 볼때마다 따스함이 뭍어나는 드라마~~,매회 볼때마다 따스함이 뭍어나는 로맨스 드라마 ~ ~
4885,이제 무서워서 사회생활을 못하겠네요 ...,이제는 무서워서 사회생활을 못하겠네요...
4887,"모든 백신(예방주사)의 성분분석 및 부작용 사례 전수조사,","모든 백신 백신 ( 예방주사 ) 의 성분분석 및 부작용 사례 전수조사,"
4898,그 와중에 개발 노가리방 혹시 계신분 있으신가요..?,그 바쁜 와중에 개발 노가리방 혹시 계신분 있으신가요..?
4899,팔 언제 뺄 수 있나요 ㅋㅋ,팔 언제 뺄릴 수 있나요 ㅋㅋ
4903,많은 인공지능 기업에서 산학협력을 추진하고 있습니다.,많은 국내 인공지능 기업에서 산학협력을 추진하고 있습니다.
4909,대국민 사기극!! 가상화폐 실명제 도입!!,대국민 사기극!! 가상화폐 거래 실명제 도입!!
4915,제가 외부 일정 끝나고 집에 들어가면 4시쯤 될 것 같은데,제가 외부 일정 끝나고 집에 일찍 들어가면 4시쯤 될 것도 같은데
4925,다들 식사 맛있게 하세요 :),다들 식사 맛있게 잘 하세요 : )
4929,"책상은 다음 주 중, 의자는 6월 초에 설치될 예정입니다.)","책상은 다음 주 중, 의자는 6월 초에 설치될 것 예정입니다. )"
4930,ㅋㅋ 사장님과 직원 같아요 ㅋㅋㅋ,ㅋㅋ 사장님과 직원이 같아요 ㅋㅋㅋ
4935,그래도 정말 하루하루 달라지네요.,그래도 요즘 정말 하루하루 달라지네요.
4938,근데 50k 아니고 25k 만 받았었는데 이상하네요,근데 50k 아니고 25k 만 받았었는데 진짜 이상하네요
4942,미세먼지 개선좀 해주세요. 정말 답답합니다.,미세먼지 제발 개선좀 해주세요. 정말 답답합니다.
4948,"오로지 평화통일만을 원한다.""라는 공식적인 성명 들은 후에 교류하세요.","오로지 "" 평화통일만을 원한다. "" 라는 공식적인 성명 들은 후에 교류하세요."
4952,엄청 향도 맛도 풍부하더라구요.,엄청 향도 맛도 정말 풍부하더라구요.
4953,토분도 종류가 초 다양!!,토분도 종류가 초 초 다양!!
4980,돈벌자 !!! 로또도 되라!!,빨리 돈벌자!!! 로또도 되라!!
4989,권력과 재력을 가진자들은 일반서민들보다 훨씬 엄정한 법집행을 하여야 합니다.,권력과 엄청난 재력을 가진자들은 일반서민들보다 훨씬 엄정한 법집행을 하여야 합니다.
4991,강동 주민 분들 여기 계셨군요!!,저희 강동 주민 분들 여기 계셨군요!!
5005,평점 조금은 더 올라가야될꺼 같네요,평점 조금은 더 올라가야될꺼도 같네요
5011,하지만 뭐 별 수 있나..,하지만 뭐 별 수 뭐 있나..
5018,대학교 취업계를 제출할 수 있게 해주세요.,대학교에 취업계를 제출할 수 있게 해주세요.
5020,최저인금 인상 이전에 물가 안정화 방안 및 최저임금 진상 조사,최저인금 인상 이전에 물가 안정화 방안 및 최저임금 인상 진상조사 조사
5029,타인의 문제로 인식한다는것은 문제를 제대로 이해하지 못했다는것과 같다.,타인의 문제로만 인식한다는것은 문제를 제대로 이해하지 못했다는것과 같다.
5035,추진력 계산식은 비슷합니다 ㅋㅋㅋ,추진력과 계산식은 비슷합니다 ㅋㅋㅋ
5048,한국인 차별하는 외국인 의료 특혜 폐지해주세요,한국인 차별하는 정부 외국인 의료 특혜 폐지해주세요
5052,다양한 영상미를 넣은건 좋았지만 정말 루즈한 영화.,다양한 영상미를 넣은건 좋았지만 정말 루즈한건 영화.
5056,범인 죽을 때 카타르시스~!!,범인 죽을 때는 카타르시스 ~!!
5071,팀원들 생각하시는마음 아주 멋있습니당ㅎ,우리 팀원들 생각하시는마음 아주 멋있습니당ㅎ
5081,저도 계정이 없어서 ㅋ,저도 제 계정이 없어서 ㅋ
5093,서로 웹툰 추천도 주고받고 즐거웠습니다~!!,서로 웹툰 추천도 주고받고 너무 즐거웠습니다 ~!!
5095,장관 점수제 의무화 제도 신설 바랍니다.,장관 점수제 의무화 및 제도 신설 바랍니다.
5097,"사랑에 대한 철학적, 심리적 분석이 매우 훌륭하다.","특히 사랑에 대한 철학적, 심리적 분석이 매우 훌륭하다."
5098,해임처분 당한 울산시 공무원 사건 엄정하게 수사해주세요..,"해임처분 당한 울산시 공무원, 사건 엄정하게 수사해주세요.."
5106,키싱구라미 그 은유는 정말 환상이었다..,키싱구라미 그 은유는 내게 정말 환상이었다..
5109,그 와중에 또 P를 거꾸로 했네요..,자 그 와중에 또 P를 거꾸로 했네요..
5111,미세먼지 해결해주세요. 대통령님 꼭 읽어주세요.,미세먼지 해결해주세요. 대통령님 책 꼭 읽어주세요.
5132,이렇게 좋은소재를 이렇게 망치다니....,이렇게 안 좋은소재를 이렇게 망치다니....
5133,야호... 호야호야 귀가 쫑끗하네요 쏘큩,야호... 호야호야 귀가 쫑끗하네요.
5134,주52시간 근무제와 유통업...간절 합니다...,주52시간 근무제와 유통업... 간절기 합니다...
5143,근처에 “앤더스 제주” 라는 카페도 넘 좋았어요!!!,근처에 “ 앤더스 제주 ” 라 라는 카페도 넘 좋았어요!!!
5148,아주 다양한 이야기를 나눌 수 있어서 좋았습니다!!,아주 다양한 이야기를 나눌 나눌 수 있어서 좋았습니다!!
5149,청소년에게 교육감 투표권을 주세요,어린 청소년에게 교육감 투표권을 주세요
5151,가마솥 닭백숙 기다리는 중입니다.,가마솥 닭백숙 기다리는 준비 중입니다.
5155,핵심가치 조사에 소중한 의견 내주신 모든 분들께 내일 중 이벤트 상품 참외 발송 예정입니다~!,핵심가치 조사에 소중한 의견 내주신 모든 분들께 내일 중 이벤트로 상품 참외를 발송 예정입니다 ~!
5157,중고차 매매 사기는 왜 근절시키지 않는 겁니까?,중고차 매매 관련 사기는 왜 근절시키지 않는 겁니까?
5159,"주연배우 너무 지겹고,,, 너무 무리한 압축... 으으으윽","주연배우 너무 지겹고,,, 너무 무리한 캐스팅 압축... 으으으윽"
5162,일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요/,/ 일자리 창출하기 전에 고용촉진지원금 부터 폐지하세요 /
5165,"역시 기억이 안나지만 재밌다,,,","역시 기억이 안나지만, 재밌다,,,"
5186,여러가지 재밌는 취미를 가지는 것이 좋지 않을까 의견이 나왔습니다.,여러가지 재밌는 취미를 가지는 그런 것이 좋지 않을까 의견이 나왔습니다.
5200,상속자들..김은숙작가님 작품 중에 제일 감성미 넘치는 드라마였던듯..,상속자들.. 김은숙작가님 작품 중에 제일 감성미 넘치는 멜로 드라마였던듯..
5206,"와우 notion 참 필요하다 싶은 기능들을 잘 제공해주면서 성장하는 것 같네요… 다른 기능들을 보니,,!","- 와우 notion 참 필요하다 싶은 다른 기능들을 잘 제공해주면서 성장하는 것 같네요 … 다른 기능들을 보니,,!"
5218,근데 제 지인 통해서...,. 근데 제 지인 통해서...
5219,북한에 도로와 철도 건설 하는 사업을 즉각 중단해 주시기 바랍니다.,부디 북한에 도로와 철도 건설 하는 모든 사업을 즉각 중단해 주시기 바랍니다.
5221,그러면서 베티 블루와 비교하는 것이 범죄인 영화.,그러면서 베티언 블루와 비교하는 것이 범죄인 영화.
5223,아침에 같이 달리실분 대 모집.,내일 아침에 같이 달리실분 대 모집.
5231,방탈출 게임 두 개 기부했습니당 ㅋㅋ,방탈출 게임 두 개를 기부했습니당 ㅋㅋ
5233,집사 간택의 춤 아닌가요?!,이건 집사 간택의 춤 아닌가요?!
5245,정말 입을 다물수 없을만큼 충격 그자체...,. 정말 입을 다물수 없을만큼 충격 그자체...
5254,대통령 임기기간과 국회의원 강한처벌 법을 만들어야 합니다,대통령 임기기간과 국회의원의 강한처벌 법을 만들어야 합니다
5255,무주택자들만 1순위 청약 할 수 있게 해주세요.,제발 무주택자들만 1순위 청약 할 수 있게 해주세요.
5258,사진이 너무 우울해보이는데 그정도는 아닙니다!,사진이 너무 많이 우울해보이는데 그정도는 아닙니다!
5259,변신의 뒤에는 항상 아픔이 있다.,변신의 뒤에는 항상 다른 아픔이 있다.
5264,너무 우울하지만 너무 달달한...,너무. 우울하지만 너무 달달한...
5279,애월에 위치한 분위기 좋은 프렌치 레스토랑입니다.,애월에서 위치한 분위기 좋은 프렌치 레스토랑입니다.
5283,/' 치셔서 일반 페이지 추가하시는 건 되실건데... 혹시 그게 안되고 있나요? ;ㅁ;,/'치셔서 일반 페이지 추가하시는 건 되실건데... 혹시 그게 안되고는 있나요? ; ; ㅁ ;
5300,개인 페이지에 제가 느낀 대로 정리해보고 있는데 많은 분이 도움 주시면 감사하겠습니다!,개인 페이지에 제가 느낀 대로 정리해보고는 있는데 많은 분이 도움을 주시면 감사하겠습니다!
5308,"실제로 화학적 거세는 생명에는 지장이 없으며, 미국과 프랑스 등 선진국에서는 시행하는 제도입니다.","실제로 화학적 거세는 생명에는 지장이 전혀 전혀 없으며, 미국과 프랑스 등 선진국에서는 시행하는 제도입니다."
5321,평론가들 말대로 이것이 가장 미국적인 영화라면 미국은 가망이 없다!,평론가들 말대로 이것이 가장 미국적인 영화라면 미국은 이길 가망이 없다!
5346,다양한 주제로 재미있게 이야기 나누었습니다.,다양한 주제로 재미있게 만나 이야기 나누었습니다.
5349,아이돌마스터 밀리언 라이브 애니화 해주십시오.,아이돌마스터 밀리언 라이브를 애니화 해주십시오.
5352,장만옥. 이 따위에 출연하다니... 에궁.,. 장만옥. 이 따위에 출연하다니... 에궁.
5358,아 저는 휴가 관계로 아쉽지만 참석하지 못할 것 같습니다!!,아 저는 휴가 관계로 아쉽지만 참석하지 못할 것도 같습니다!!
5373,참석하실 분들은 오늘 오후6시까지 갠톡주셔요~,참석하실 모든 분들은 오늘 오후6시까지 갠톡주셔요 ~
5389,와 이거 완전 유용하네요ㅎㅎ,와 이거 진짜 완전 유용하네요ㅎㅎ
5398,핸드폰 태양력으로 충전하게 만들어주세요,꼭 핸드폰 태양력으로 충전하게 만들어주세요
5402,나 또한 원주율을 위해..,나는 또한 원주율을 위해..
5406,실버택배 지원 여부 확인 및 지원중일 경우 지원 철회 요청,실버택배 지원 여부 확인 및 지원중일의 경우 지원 중단 철회 요청
5409,임청정 순수해보이고 풋풋하던 그시절...,임청정. 순수해보이고 풋풋하던 그시절...
5435,담엔 꼭 오프로 뵙고 인사드릴게요.,담엔 내일 꼭 오프로 뵙고 인사드릴게요.
5441,청원 답변을 받을수있는 기준을 낮춰주세요,그리고 청원 답변을 받을수있는 기준을 낮춰주세요
5449,ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요,ㅋㅋㅋ ㅋㅋㅋ 진짜 시간 가는 줄 몰랐네요
5452,개 이하가 없어서 정말 안타깝습니다.,개 이하가 거의 없어서 정말 안타깝습니다.
5454,이거 가끔 그런경우가 있습니다. 아마 크롬+맥 조합.,이거 가끔 그런경우가 가끔 있습니다. 아마 크롬 + 맥 조합.
5462,위수지역 폐지를 강력하게 요청합니다.,위수지역 폐지를 강력하게 강력히 요청합니다.
5467,원래 이런거 안남기는데 ㅋ,원래 이런거 안남기는데 ㅋ ㅋ
5468,오 저도 넷플다큐 종종 찾아보는데! 추천 감사합니다ㅎㅎㅎ,오 저도 넷플다큐 종종 찾아보는데! 추천해서 감사합니다ㅎㅎㅎ
5469,아이들이 법적보호자를 신청/변경 할수있게 해주세요 !,아이들이 직접 법적보호자를 신청 / 변경 할수있게 해주세요!
5470,프레디 크루거의 캐스팅만 제대로 되었더라면 나쁘지는 않았을 영화이다,프레디 크루거의 캐스팅만으로 제대로 되었더라면 나쁘지는 않았을 영화이다
5475,넵은 10키로 하라는 것이죠? ㅋㅋ,넵은 10키로 하라는 그런 것이죠? ㅋㅋ
5490,청소년 보호법을 폐지해야 합니다.,청소년 보호법을 당장 폐지해야 합니다.
5493,네넵! 혹시 필요하면 말씀드릴께요!,네넵!! 혹시 필요하면 말씀드릴께요!
5497,이명박전대통령의 해외 출국을 금지하여 주세요/,이명박전대통령의 해외로 출국을 금지하여 주세요 /
5498,저는 금요일인데 마음 편하게 할 수 있겠군요.,저는 이제 금요일인데 마음 편하게 할 수 있겠군요.
5499,저 명함이 200장 정도 필요할듯 합니다.,저 명함이 200장 정도 필요할듯도 합니다.
5515,저도 이거 두 개 있…,근데 저도 이거 두 개 있 …
5519,오 뭔가 점점 아빠를 닮아가네요..!,! 오 뭔가 점점 아빠를 닮아가네요..!
5520,전국 아파트 실버택배 운용현황 전수조사 및 자료공개요청,전국 아파트 실버택배 운용현황 전수조사 및 관련 자료공개요청
5531,오늘 도착해서 사용해보다가 성능 테스트를 한번 해봤는데요.,오늘 도착해서 사용해보다가 성능 테스트를 다시 한번 해봤는데요.
5540,위장전입으로 받은 건축허가를 취소해주세요,위장전입으로 받은 건축허가를 모두 취소해주세요
5541,레밍턴스틸 이후 첨으로 참 유쾌하다고 느낀 드라마,레밍턴스틸 이후 첨으로 참말로 유쾌하다고 느낀 드라마
5548,김정일 사망 7주년 기념행사 추진,北 김정일 사망 7주년 기념행사 추진
5550,다만 발연기 하는 사람 없어서 편하게 봤다.,"다만, 발연기 하는 사람 없어서 편하게 봤다."
5551,조원진의 막말ㅡ200조에 대해 수사해주십시요.,조원진의 청와대 막말ㅡ200조에 대해 수사해주십시요.
5553,유사라 연기는 콧구멍조차 어색하지만 내용 엄청 파격적이고 살색의 향연이다!,유사라의 연기는 콧구멍조차 어색하지만 내용 엄청 파격적이고 살색의 향연이다!
5554,공기도 넘 시원하고 좋네요!!!,바깥 공기도 넘 시원하고 좋네요!!!
5559,화성시청 공무원의 안이하고 부당한 일처리,화성시청 공무원의 안이하고 부당한 업무 일처리
5570,"조만간 미국이든, 캐나다든, 어디든 한 두달살이를 레츠고!!!!!!!!","그리고 조만간 미국이든, 캐나다든, 어디든 한 두달살이를 레츠고!!!!!!!!"
5583,대한민국 정부가 하는 적폐청산... 현재 이게 맞는 행동입니까?,대한민국 정부가 하는 적폐청산... 현재 이게 맞는 정부 행동입니까?
5605,Ocn에서 해주길래 봤는데 음....,아까 Ocn에서 해주길래 봤는데 음....
5617,와아~ 타일에 격자에!! 옆에 창 마저!! 와아아아!!,와아 ~ ~ 타일에 격자에!! 옆에 창 마저!! 와아아아!!
5638,저는 개인적으로 채널 기능이 제일 강력한것 같아요.,저는 개인적으로 채널 기능이 제일로 강력한것 같아요.
5646,전국연합학력평가의 시행 횟수를 전국적으로 똑같게 맞춰주세요.,그리고 전국연합학력평가의 시행 횟수를 전국적으로 똑같게 맞춰주세요.
5649,여세를 몰아 이태원 클라스까지 시작했다는...,여세를 몰아 이태원의 클라스까지 시작했다는...
5652,"공동주택 일자리안정자금에 대한 문제점(미화원, 경비원 2019년 임금 동결건)","공동주택 일자리안정자금에 대한 문제점 ( 미화원, 경비원 2019년 임금 인상 동결건 )"
5653,오오~ 20개면 정말 정말 잘하는 것입니다.,오오 ~ ~ 20개면 정말 정말 잘하는 것입니다.
5654,차마 욕은 쓸수 없고..한숨만 나온다.,차마 욕은 쓸수 없고.. 한숨만 절로 나온다.
5667,네! 다른 분들도 참고하실 수 있게 공유드리겠습니다!!,네! 그럼 다른 분들도 참고하실 수 있게 공유드리겠습니다!!
5668,그래도 올라갈 때는 써야해서 그냥 두고 있어요ㅎㅎㅎ,그래도 올라갈 때는 써야해서 그냥 두고는 있어요ㅎㅎㅎ
5677,한단계 한단계 올라가는 중이라 스스로 괜히 신나는 중입니다…ㅎㅎㅋㅋ,지금 한단계 한단계 올라가는 중이라 스스로 괜히 신나는 중입니다 … ㅎㅎㅋㅋ
5683,"청원 댓글에 ""반대합니다"" 옵션을 넣어주세요..","청원의 댓글에 "" 반대합니다 "" 옵션을 넣어주세요.."
5685,곧 90명 될텐데요 ㅎㅎ,곧 90명이 될텐데요 ㅎㅎ
5686,"화면은 아름다웠지만, 쏟아지는 졸음은 어쩔수 없다","화면은 너무나 아름다웠지만, 쏟아지는 졸음은 어쩔수 없다"
5690,와 진짜 꿀팁.. 얻어갑니다!!!,와 진짜. 꿀팁.. 얻어갑니다!!!
5695,왠 TV후원광고가 이리도 많이 생기나요.,왠 TV후원광고가 이리도 많이 많이 생기나요.
5698,치료센터 가셔서 잘 치료 받으실 수 있나요?,치료센터 가셔서 잘 치료를 받으실 수 있나요?
5707,제가 아직 리크루티와 깃헙에 초대되지 않았습니다,제가 아직 리크루티와 깃헙에 초대되지는 않았습니다
5710,모든 선거에 있어 후보자들의 전과기록을 판례집 처럼 자세히 기재하도록 해주시기 바랍니다,모든 선거에 있어서 후보자들의 전과기록을 대법원 판례집 처럼 자세히 기재하도록 해주시기 바랍니다
5723,서울대에 초등교육과를 설치해 주세요.,서울대에 초등교육과를 하나 설치해 주세요.
5726,헐 앞머리 커엽 ㅋㅋㅋ,헐 ㅋㅋㅋ 앞머리 커엽 ㅋㅋㅋ
5728,거짓말일 것 같아서 다 미리 쓰셨다는 ㅋㅋㅋ,거짓말일 것 같아서 다 미리 다 쓰셨다는 ㅋㅋㅋ
5733,병원에서도 같은 말씀을 하시더라구요....,병원에서도 다 같은 말씀을 하시더라구요....
5744,오 신기 이런게 있군요,오 신기 이런게 다 있군요
5755,사립유치원 교사 좀 살려주세요.,사립유치원 교사들 좀 살려주세요.
5757,시나리오 수정 좀 하지,시나리오 수정을 좀 하지
5763,"돼지국밥;부추, 밀면 좋죠 ㅎ","; 돼지국밥 ; 부추, 밀면 좋죠 ㅎ"
5771,재미있게 읽었던 책 공유드립니다 :),재미있게 읽었던 책 공유드립니다. : )
5783,글자 이모지는 이 곳에서 쉽게 생성할 수 있습니다.,글자 이모지는 바로 이 곳에서 쉽게 생성할 수 있습니다.
5784,국세와 지방세 비율 및 공공기관 이전건에 대한 질의,국세와 지방세 비율 및 공공기관 이전건에 대한 대한 질의
5785,일베의 배후자금에 국정원이 개입했는지 조사 부탁합니다.,일베의 배후자금에 국정원이 개입했는지 추가 조사 부탁합니다.
5787,아흙 오늘은 오전에 베이비 타임으로 커피챗놓쳤네요 ㅠㅠ,아흙 오늘은 오전에는 베이비 타임으로 커피챗놓쳤네요 ㅠㅠ
5791,ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ,. ㅎㅎ 이렇게 하면 겨우 516 Cal 소모네요. ㅋㅋ
5798,"인터넷이 안되니 전화라도 해야하는데, 전화번호도 슬랙에 들어가야 확인가능하고.. ㅜㅜ","인터넷이 안되니 전화라도 해야하는데, 전화번호도 일단 슬랙에 들어가야 확인가능하고.. ㅜㅜ"
5808,결국 상황이 어떻든 내가 옳은 판단을 하면 되는거다.,결국 상황이 어떻든 내가 옳은 판단을 하고 하면 되는거다.
5834,5가지 원칙이 깨달음을 주네요!,5가지 원칙이 모두 깨달음을 주네요!
5836,언젠가 화성에서 워크샵하는 날도 올 수 있으면 좋겠네요..!,언젠가 화성에서 워크샵하는 날도 올 수는 있으면 좋겠네요..!
5837,최고예여~ 말이 필요 없삼........,최고예여 ~ 말이 필요가 없삼........
5848,국회의원 파면이 가능하도록 해주세요.,국회의원의 파면이 가능하도록 해주세요.
5849,명량 아직안번사람들 이가보고 명량보는거 추천!!,명량 아직안번사람들은 이가보고 명량보는거 추천!!
5851,같이 또 갈 사람??,같이 또 갈 만한 사람??
5856,끝나고난 뒤의 여운이란 ..,끝나고난 며칠 뒤의 여운이란..
5857,어제 밤에 집에 참새가 들어와 온가족이 혼비백산 했습니다.,어제 밤에 집에 참새가 들어와 온가족이 혼비백산을 했습니다.
5861,헉스 저 이거 눈물버튼입니다ㅠㅠㅠ,헉스님 저 이거 눈물버튼입니다ㅠㅠㅠ
5877,3/5일 온다고 하니 그때부터 더 밝은 표정 보여 드리겠습니다.,"3 / 5일 온다고 하니, 그때부터 더 밝은 표정 보여 드리겠습니다."
5878,앞으로 데이터/모델 같이 잘 다뤄 보시죠!!,앞으로 데이터 / 모델을 같이 잘 다뤄 보시죠!!
5879,스페인어를 할줄 알았으면 좋았을텐데...,스페인어를 잘 할줄 알았으면 좋았을텐데...
5883,일주일에 5분씩 줌에서 뵈었더니 뭔가 익숙한 느낌적인 느낌... 앞으로도 자주 봬요!,. 일주일에 5분씩 줌에서 뵈었더니 뭔가 익숙한 느낌적인 그런 느낌... 앞으로도 자주 봬요!
5884,비위면직자 5년취업제한 10년으로 연장해주세요!!!,비위면직자 5년취업제한 10년으로 대폭 연장해주세요!!!
5900,전 이해가 안됩니다. ㅡ.ㅡ,전 이해가 안됩니다.. ㅡ. ㅡ
5901,사전질문도 훌륭했는데 현장 질문도 많이 들어오고! 대부분의 학생들이 끝까지 집중해서 잘 듣는 듯 했습니다.,사전질문도 훌륭했는데 현장 질문도 많이 들어오고! 대부분의 학생들이 거의 정말 끝까지 집중해서 잘 듣는 듯 했습니다.
5902,10월 국정감사에 정몽규 대한축구협회 회장을 반드시 출석시켜 주십시오,10월 국정감사에서 정몽규 대한축구협회 회장을 반드시 출석시켜 주십시오
5904,요즘 영화표값 오른 거 알지?,요즘 영화표값 오른다는 거 알지?
5914,"1차 농산물 생산, 유통의 면세 폐지, 과세 후 환급을 청원합니다.","1차 농산물 생산, 농산물 수입 유통의 면세 폐지, 과세 후 환급을 청원합니다."
5929,"우리땅 독도, 우리가 지켜야 합니다.","우리땅, 독도, 우리가 지켜야 합니다."
5931,토지를 보면 얼마나 부끄러워할까..,토지를 보면서 얼마나 부끄러워할까..
5933,이게 제대로 된 나라인가..,. 이게 제대로 된 나라인가..
5934,우선 맛을 다 보기 위해 12종짜리로.,우선 맛을 다해 보기 위해 12종짜리로.
5938,일일 일 일주 고고?,일일 일일 일주 고고?
5949,특히 대사대신 음악쓰는데 지렸음...,. 특히 대사대신 음악쓰는데 지렸음...
5962,아홉시에 카페에서 쫓겨나서 아쉬웠습니다.,아홉시에는 카페에서 쫓겨나서 아쉬웠습니다.
5963,소년법 폐지를 간곡히 청원합니다,부디 소년법 폐지를 간곡히 청원합니다
5972,애니메이션을 본 사람은 꼭 극장판을 보길!,애니메이션을 본 두 사람은 꼭 극장판을 보길!
5983,"고양이 얘기, 업무 얘기, 재택의 장점 얘기하며 너무 즐거운 시간 보냈습니다!","고양이 얘기, 업무 얘기, 재택의 장점을 얘기하며 너무 즐거운 시간을 보냈습니다!"
5995,공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...,. 공포를 원한다면 밤에 거울 앞에서 후래시 번 깜빡여봐라...
6007,우리에게 혜택이 있을만한 정책이 있는지 한번 살펴봐주세요.,우리에게 혜택이 있을만한 정책이 있는지 한번 더 살펴봐주세요.
6011,"모바일 게임회사(넥슨, 펄어비스)의 방만한 관리 및 유저에 대한 비상식적인 적폐를 고발합니다.","모바일 전문 게임회사 ( 넥슨, 펄어비스 등 ) 의 방만한 관리 및 유저에 대한 비상식적인 적폐를 고발합니다."
6013,미녀'는 좀 아니고 걍 '여자 삼총사' ㅋ.,미녀'는 좀 아니고 걍'여자 삼총사 '. ㅋ.
6031,다음에 더 많은 얘기 나누어요!,다음에 더 많은 얘기를 나누어요!
6038,그건 그렇고 사진 너무 옛날 것 쓰신거 같은데...,그건 그렇고 사진은 너무 옛날 것 쓰신거 같은데...
6039,근데 약이 나오고 나서부터 문제가 시작된다.,근데 약이 나오고 그리고 나서부터 문제가 시작된다.
6043,서로 취미 생활을 공유하다가 둘 다 취미생활에 열정을 쏟는다는 공통점을 발견했습니다,서로 취미 생활을 꾸준히 공유하다가 결국 둘 다 취미생활에 열정을 쏟는다는 공통점을 발견했습니다
6047,"관공서,기업 대표전화(1588,1544 등) 없애거나 개선해주세요","관공서, 기업 대표전화 ( 1588, 1544건 등 ) 없애거나 개선해주세요"
6052,대통령님 제발...미세먼지 해결방법을 효과적인걸로...,. 대통령님 제발... 미세먼지 해결방법을 효과적인걸로...
6061,국민연금에 부과하는 소득세를 폐지해 주세요.,국민연금에서 부과하는 소득세를 폐지해 주세요.
6065,아마도 <PERSON> 님??? 아니면 슬렉 관리자 계정이신 분들께 도움 요청합니다!,아마도 < PERSON > 님???? 아니면 슬렉 관리자 계정이신 분들께 도움을 요청합니다!
6068,주로 서로의 background + 하는 일에 대해서 많이 이야기 나눴습니다.,주로는 서로의 background + 하는 일에 대해서도 많이 이야기 나눴습니다.
6077,"어머 저 여기 좋아해서, 막 생일날 엄마아빠랑 가고 그랬는데 사라져서 섭섭했어요!","어머 저 여기 너무 좋아해서, 막 생일날 엄마아빠랑 가고 그랬는데 사라져서 너무 섭섭했어요!"
6079,흡연장소 단속 관련 청원,흡연장소 추가 단속 관련 청원
6084,touchbar에서 뛰어다니는 앱도 있으면 좋겠네요 ㅋ,touchbar에서 뛰어다니는 앱도 많이 있으면 좋겠네요 ㅋ
6106,그리구 혹시 스티커 주문하실 때 어디서 하시는지 저도 알 수 있을까요 ㅎㅎㅎ,그리구 혹시 스티커를 주문하실 때 어디서 하시는지 저도 어떻게 알 수 있을까요 ㅎㅎㅎ
6119,<PERSON> 님도 한 번 고려해보시죠! ㅎㅎ,< PERSON > 님도 다시 한 번 고려해보시죠! ㅎㅎ
6124,모두가 움직였다고 해서 내가 움직인 것은 아니다.,모두가 움직였다고 해서 내가 움직인 것은 결코 아니다.
6129,남자 강제 군대징병은 위헌입니다.,남자 강제로 군대징병은 위헌입니다.
6132,엑스맨과 비교한 감독발언... 슈퍼맨을 기대했다가 우뢰매를 본 느낌...,엑스맨과 비교한 감독발언... 슈퍼맨을 기대했다가 우뢰매를 못 본 느낌...
6134,밀푀유나베 진짜 꽃 같아요!!,밀푀유나베 진짜 꽃과 같아요!!
6136,6피스만 드신 거 아니죠?,6피스만 드신다는 거 아니죠?
6148,마술 소재 영화는 스토리와 cg만 좋으면 당연이 성공한다.,마술 소재 영화는 스토리와 함께 cg만 좋으면 당연이 성공한다.
